image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
5764.pgm,256x256,3110,4.447,TRUE,inf,0.003662856,0.001259601,7.997282795,245.90625,91.67633057,2.114186006
5765.pgm,256x256,7304,4.6675,TRUE,inf,0.004572636,0.006319102,7.997348741,240.5859375,88.89923096,1.98989569
5766.pgm,256x256,6147,3.8203,TRUE,inf,-3.95E-05,0.00481511,7.997295845,245.3515625,92.3324585,4.07164929
5767.pgm,256x256,5786,3.0012,TRUE,inf,0.00616044,-0.001769572,7.997446944,232.5703125,94.10705566,8.17124909
5768.pgm,256x256,8380,3.981,TRUE,inf,0.003641775,0.000225743,7.996906672,281.1328125,90.80657959,3.954994351
5769.pgm,256x256,1042,2.6404,TRUE,inf,0.00812176,-7.66E-05,7.997283403,244.6171875,97.71728516,8.796967151
577.pgm,256x256,15056,5.8928,TRUE,inf,0.004602071,0.005912758,7.997033828,269.2265625,78.40881348,0.887642655
5770.pgm,256x256,9555,4.1465,TRUE,inf,0.004383843,0.003292735,7.996945682,279.046875,89.9307251,3.839584051
5771.pgm,256x256,9712,4.0024,TRUE,inf,0.002512268,0.000743403,7.997298267,246.171875,89.79949951,3.860300101
5772.pgm,256x256,10579,4.085,TRUE,inf,0.007904955,0.002716535,7.997537787,223.5,89.26391602,3.811454025
5773.pgm,256x256,6936,0.8914,TRUE,inf,0.001494402,0.003464854,7.997248981,249.5078125,94.28100586,31.6974595
5774.pgm,256x256,4641,1.4607,TRUE,inf,0.005873273,0.00456905,7.997565835,220.7578125,96.10595703,33.00100888
5775.pgm,256x256,9209,2.5771,TRUE,inf,0.002732185,-0.00156414,7.997107855,261.921875,92.22106934,15.43980617
5776.pgm,256x256,9238,2.5955,TRUE,inf,0.006494546,0.001662639,7.99748991,226.5234375,92.37823486,15.64112645
5777.pgm,256x256,13385,5.8237,TRUE,inf,0.005258239,0.006389134,7.997161881,256.6953125,79.80957031,0.909507602
5778.pgm,256x256,12183,5.7725,TRUE,inf,0.006165475,0.009630666,7.997614426,217.71875,80.31158447,0.920960669
5779.pgm,256x256,1391,5.2839,TRUE,inf,0.004147116,0.002681137,7.996636512,306.2265625,86.89575195,1.078072342
578.pgm,256x256,11492,4.9299,TRUE,inf,0.000500196,0.001302764,7.997153824,259.671875,85.95275879,1.873575846
5780.pgm,256x256,7259,4.6951,TRUE,inf,0.005315713,0.005423024,7.996953793,277.140625,88.86108398,1.996789072
5781.pgm,256x256,9657,5.7061,TRUE,inf,0.005680686,0.005154733,7.9974697,229.84375,81.91070557,0.967096067
5782.pgm,256x256,12513,4.3618,TRUE,inf,0.004058556,0.004575519,7.997314581,244.78125,87.90130615,3.71938668
5783.pgm,256x256,1318,3.574,TRUE,inf,0.005173154,0.007668012,7.996985065,273.3359375,95.94116211,4.38553754
5784.pgm,256x256,7978,3.2751,TRUE,inf,0.000709875,0.007513878,7.997012818,270.4765625,92.51403809,7.955154718
5785.pgm,256x256,8891,4.0908,TRUE,inf,0.00464838,0.003473498,7.99768474,210.0234375,90.4510498,3.885402305
5786.pgm,256x256,4686,4.6279,TRUE,inf,0.004186148,0.003047499,7.997095855,263.78125,90.46936035,2.104833266
