Image,mean_zero_planes
1097.pgm,4.85772705078125
1098.pgm,4.45343017578125
1099.pgm,4.23541259765625
11.pgm,4.25482177734375
110.pgm,3.7215576171875
1100.pgm,4.40240478515625
1101.pgm,5.970703125
1102.pgm,5.169189453125
1103.pgm,4.21466064453125
1104.pgm,3.53125
1105.pgm,5.39892578125
1106.pgm,4.3636474609375
1107.pgm,4.44451904296875
1108.pgm,4.9122314453125
1109.pgm,5.1650390625
111.pgm,4.27618408203125
1110.pgm,5.01348876953125
1111.pgm,4.72686767578125
1112.pgm,6.03179931640625
1113.pgm,5.08123779296875
1114.pgm,5.0191650390625
1115.pgm,3.169189453125
1116.pgm,4.029541015625
1117.pgm,4.31854248046875
1118.pgm,4.79437255859375
1119.pgm,2.9573974609375
112.pgm,4.7086181640625
1120.pgm,5.52099609375
1121.pgm,3.32000732421875
1122.pgm,4.83392333984375
1123.pgm,3.52215576171875
1124.pgm,5.11968994140625
1125.pgm,5.0643310546875
1126.pgm,4.39923095703125
1127.pgm,4.87841796875
1128.pgm,4.340576171875
1129.pgm,6.07562255859375
113.pgm,5.13934326171875
1130.pgm,4.20025634765625
1131.pgm,4.2679443359375
1132.pgm,3.3936767578125
1133.pgm,4.03143310546875
1134.pgm,4.047119140625
1135.pgm,4.454833984375
1136.pgm,4.3260498046875
1137.pgm,5.230712890625
1138.pgm,5.14678955078125
1139.pgm,5.06658935546875
114.pgm,4.894287109375
1140.pgm,4.187744140625
1141.pgm,5.088623046875
1142.pgm,4.7745361328125
1143.pgm,3.52606201171875
1144.pgm,4.70281982421875
1145.pgm,5.32037353515625
1146.pgm,5.196044921875
1147.pgm,5.0367431640625
1148.pgm,4.6519775390625
1149.pgm,4.50225830078125
115.pgm,4.1190185546875
1150.pgm,4.78656005859375
1151.pgm,5.70867919921875
1152.pgm,3.421875
1153.pgm,4.84649658203125
1154.pgm,4.98858642578125
1155.pgm,5.20672607421875
1156.pgm,2.99578857421875
1157.pgm,4.5166015625
1158.pgm,6.91619873046875
1159.pgm,4.37957763671875
116.pgm,5.15252685546875
1160.pgm,3.97442626953125
1161.pgm,4.62359619140625
1162.pgm,5.95758056640625
1163.pgm,4.2587890625
1164.pgm,4.15521240234375
1165.pgm,4.14434814453125
1166.pgm,4.68133544921875
1167.pgm,4.65380859375
1168.pgm,5.997314453125
1169.pgm,3.208251953125
117.pgm,4.0169677734375
1170.pgm,4.46875
1171.pgm,5.1124267578125
1172.pgm,4.76055908203125
1173.pgm,4.71746826171875
1174.pgm,4.91632080078125
1175.pgm,3.49859619140625
1176.pgm,4.15380859375
1177.pgm,4.1116943359375
1178.pgm,5.31976318359375
1179.pgm,4.7301025390625
118.pgm,5.05816650390625
1180.pgm,4.867919921875
1181.pgm,5.96014404296875
1182.pgm,5.13409423828125
1183.pgm,4.6085205078125
1184.pgm,3.81793212890625
1185.pgm,4.99603271484375
1186.pgm,5.8236083984375
1187.pgm,5.05078125
1188.pgm,5.2508544921875
1189.pgm,5.15924072265625
119.pgm,5.83367919921875
1190.pgm,4.92236328125
1191.pgm,4.79388427734375
1192.pgm,5.476806640625
1193.pgm,3.6795654296875
1194.pgm,5.05712890625
1195.pgm,3.4195556640625
1196.pgm,5.4495849609375
1197.pgm,4.61553955078125
1198.pgm,5.80511474609375
1199.pgm,5.6273193359375
12.pgm,4.6328125
120.pgm,2.94464111328125
1200.pgm,4.59136962890625
1201.pgm,4.5928955078125
1202.pgm,3.899658203125
1203.pgm,4.27777099609375
1204.pgm,5.30572509765625
1205.pgm,4.74139404296875
1206.pgm,3.326904296875
1207.pgm,4.4444580078125
1208.pgm,5.053955078125
1209.pgm,4.51220703125
121.pgm,5.13671875
1210.pgm,5.1673583984375
1211.pgm,5.7237548828125
1212.pgm,6.6439208984375
1213.pgm,5.75128173828125
1214.pgm,5.2894287109375
1215.pgm,3.148681640625
1216.pgm,4.80999755859375
1217.pgm,4.41143798828125
1218.pgm,4.6021728515625
1219.pgm,6.8184814453125
122.pgm,5.19366455078125
1220.pgm,6.23541259765625
1221.pgm,4.59686279296875
1222.pgm,5.23565673828125
1223.pgm,4.53411865234375
1224.pgm,4.610107421875
1225.pgm,4.86114501953125
1226.pgm,5.01446533203125
1227.pgm,5.41937255859375
1228.pgm,5.75531005859375
1229.pgm,3.90850830078125
123.pgm,4.88653564453125
1230.pgm,5.4659423828125
1231.pgm,6.06695556640625
1232.pgm,3.81732177734375
1233.pgm,6.5543212890625
1234.pgm,4.0711669921875
1235.pgm,4.94281005859375
1236.pgm,5.0325927734375
1237.pgm,4.78924560546875
1238.pgm,4.29638671875
1239.pgm,5.27490234375
124.pgm,5.64501953125
1240.pgm,5.22772216796875
1241.pgm,4.43023681640625
1242.pgm,4.508544921875
1243.pgm,5.468994140625
1244.pgm,3.54510498046875
1245.pgm,5.1480712890625
1246.pgm,4.52325439453125
1247.pgm,5.28509521484375
1248.pgm,5.23760986328125
1249.pgm,4.7225341796875
125.pgm,4.72601318359375
1250.pgm,4.7850341796875
1251.pgm,4.9638671875
1252.pgm,5.7257080078125
1253.pgm,5.3988037109375
1254.pgm,5.69647216796875
