Dataset,Max (bpp),Min (bpp),Average (bpp),Std (bpp),PSNR,SSIM,Extraction Success
BOSSbase,7.89,0.376,4.673,1.16,+inf (lossless),1 (lossless),0.00%
BOWS-2,7.289,0.072,4.068,1.15,+inf (lossless),1 (lossless),0.00%
