Image,I_corr_h,I_corr_v,I_entropy,I_chi2,If_corr_h,If_corr_v,If_entropy,If_MAE,If_chi2,If_NPCR,If_UACI,Im_corr_h,Im_corr_v,Im_entropy,Im_MAE,Im_chi2,Im_NPCR,Im_UACI
baboon,0.8665424107979435,0.7587342336189818,7.358336714515905,187356.572265625,-0.0010005350233903163,0.0018987945173126045,7.99929122174902,70.91148376464844,257.3125,99.59030151367188,27.808425005744486,0.13462947816081738,0.02442011754360872,7.594381109848262,76.6732063293457,191908.5703125,99.66468811035156,30.067924050723803
jetplane,0.9663166742776397,0.9641274979908872,6.702462718871628,717779.3359375,-0.001810933417023839,0.004447220190598132,7.9993567700394,82.7984848022461,233.775390625,99.59030151367188,32.46999404009651,-0.0011426812906698573,0.004613746464161163,7.763961125812642,83.62247467041016,117023.64453125,99.59678649902344,32.79312732172947
lena,0.9719264139363446,0.9850288304551827,7.445061327818999,158349.35546875,-0.0022947095167139197,0.003970677133611075,7.999117733149284,72.99827575683594,320.470703125,99.59030151367188,28.626774806602327,8.920675919455465e-05,0.0042809349101263095,7.80178582076573,72.9979248046875,104115.1484375,99.58763122558594,28.626637178308822
tiffany,0.9382232322752927,0.9403477681248221,6.600937903729747,530208.935546875,0.0019540930925748315,0.001961221570154137,7.999348634512024,94.60778045654297,236.93359375,99.59030151367188,37.10109037511489,0.004169268529712885,0.0016668879683443018,7.798810709130658,96.89836120605469,105817.80078125,99.61357116699219,37.99935733570772
