image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
1.pgm,512x512,35381,4.8544,True,inf,-0.0009505106611849101,0.002385395749934721,7.999196062983309,291.998046875,87.77542114257812,1.9330746519799324
10.pgm,512x512,12524,3.5667,True,inf,-0.0003381593871619699,0.0017476711655214844,7.999321531473706,246.775390625,94.60639953613281,4.288416843788297
100.pgm,512x512,44203,4.1156,True,inf,0.0009078834437860703,0.003782156788564584,7.999199325584708,291.31640625,89.05181884765625,3.7500553505093444
1000.pgm,512x512,49150,4.2723,True,inf,0.0010753188857708163,0.0018244658072924201,7.99935615180998,234.88671875,88.067626953125,3.6995622223498774
10000.pgm,512x512,48164,4.218,True,inf,0.0002588372965484465,0.001333296789851567,7.999285850170432,259.650390625,88.1805419921875,3.7059783935546875
