image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
6464.pgm,512x512,3903,4.4596,TRUE,inf,-0.000415637,0.000166616,7.999342149,238.5410156,93.09425354,2.211774938
6465.pgm,512x512,26677,2.9603,TRUE,inf,-0.000245169,0.002146023,7.999300058,253.9628906,93.48373413,7.990927603
6466.pgm,512x512,2904,2.5329,TRUE,inf,-0.002296308,0.002196928,7.999255897,270.6328125,97.89161682,8.773148481
6467.pgm,512x512,3712,2.6121,TRUE,inf,-0.000640291,0.002216492,7.999342515,239.6699219,97.77069092,8.808984195
6468.pgm,512x512,25768,2.2712,TRUE,inf,0.003046977,0.003866447,7.999342133,239.2773438,94.35386658,16.06205211
6469.pgm,512x512,25108,3.2177,TRUE,inf,0.001723922,0.001575231,7.999348427,236.25,93.76754761,8.413018619
647.pgm,512x512,46284,4.9226,TRUE,inf,-0.000124479,0.003232991,7.999188488,295.5742188,86.02180481,1.838778327
6470.pgm,512x512,38842,3.4592,TRUE,inf,0.000849138,0.001247458,7.999279859,261.3046875,91.28379822,7.865226596
6471.pgm,512x512,17120,4.527,TRUE,inf,0.001528712,0.003314191,7.99927472,263.9414063,90.87104797,2.087993248
6472.pgm,512x512,3136,4.3143,TRUE,inf,-0.000150341,0.002146231,7.999312308,249.640625,93.25675964,2.202923345
6473.pgm,512x512,14297,3.6103,TRUE,inf,0.000528322,0.003245268,7.999398898,218.265625,94.36340332,4.221653658
6474.pgm,512x512,18208,2.8348,TRUE,inf,0.000387655,0.002602944,7.999427289,208.3046875,95.06912231,8.333423091
6475.pgm,512x512,30608,3.0509,TRUE,inf,0.001293379,0.001928442,7.999298315,254.625,92.74139404,7.897875917
6476.pgm,512x512,40197,3.2474,TRUE,inf,0.001687807,0.003016646,7.999366951,230.34375,90.93818665,7.555989284
6477.pgm,512x512,40391,3.3331,TRUE,inf,0.000243902,0.003410169,7.999317924,247.1757813,90.99731445,7.588707419
6478.pgm,512x512,36762,3.2126,TRUE,inf,-0.000816742,0.002605196,7.999356039,233.6816406,91.59393311,7.691635431
6479.pgm,512x512,38429,3.205,TRUE,inf,0.000307245,0.004972297,7.99934225,239.2539063,91.33491516,7.586271997
648.pgm,512x512,39767,4.8186,TRUE,inf,0.001338411,0.003433373,7.999341184,239.1953125,87.05482483,1.908593271
6480.pgm,512x512,18500,4.5222,TRUE,inf,0.000796476,0.003864753,7.999211389,286.9550781,90.68374634,2.072228824
6481.pgm,512x512,26418,4.6747,TRUE,inf,0.000912637,0.001948848,7.999277049,263.15625,89.29901123,2.02969121
6482.pgm,512x512,37422,4.8181,TRUE,inf,0.000434994,0.001930842,7.999311062,250.3867188,87.36991882,1.934325274
6483.pgm,512x512,37316,4.8267,TRUE,inf,-0.000150317,0.002105908,7.999320814,247.1308594,87.51487732,1.935668646
