image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
4432.pgm,256x256,0.936564,0.886168,7.37201,50392.88,0.003367,-0.000349,7.997445,232.5,0.003354,-0.000348,7.997422,234.08,99.5987,27.8955,71.1335,99.5941,27.8954,71.1333,5.8624,0.023,0.0586,7668,2.3059,True,inf
4433.pgm,256x256,0.978608,0.966563,6.289257,279944.26,0.00602,-0.001803,7.997165,257.88,0.006035,-0.001763,7.997394,236.47,99.585,30.4762,77.7144,99.5895,30.4759,77.7136,6.0608,0.0238,0.0606,7896,4.8479,True,inf
4434.pgm,256x256,0.940995,0.918456,6.568076,245407.83,-0.003388,0.003476,7.997202,254.93,-0.00341,0.003478,7.997317,244.59,99.6109,33.1188,84.453,99.614,33.1195,84.4547,5.7495,0.0225,0.0575,7411,3.9563,True,inf
4435.pgm,256x256,0.958213,0.942502,6.569605,179767.32,0.002212,0.001127,7.997484,228.37,0.002212,0.001125,7.997468,229.92,99.5789,34.0458,86.8168,99.5819,34.0458,86.8168,0.8499,0.0033,0.0085,1146,2.585,True,inf
4436.pgm,256x256,0.979952,0.968002,7.364737,62335.38,0.00476,0.001725,7.997051,268.6,0.004751,0.001705,7.997182,256.33,99.6063,33.2987,84.9117,99.6155,33.2983,84.9108,8.0765,0.0317,0.0808,10499,4.113,True,inf
4437.pgm,256x256,0.863378,0.880791,7.644292,33777.3,0.002543,0.006006,7.997375,238.15,0.002541,0.006011,7.997433,232.74,99.5911,33.0567,84.2946,99.5972,33.0569,84.295,0.6012,0.0024,0.006,832,0.9944,True,inf
4438.pgm,256x256,0.800967,0.823158,6.875497,142634.43,-0.000468,-0.000711,7.997143,258.18,-0.000469,-0.000714,7.997147,257.71,99.6109,30.7818,78.4936,99.6109,30.7819,78.4937,0.3098,0.0012,0.0031,396,3.4282,True,inf
4439.pgm,256x256,0.962302,0.9736,7.44242,55361.31,0.001192,0.002346,7.997485,228.12,0.001192,0.002348,7.997461,230.0,99.6124,32.0802,81.8046,99.6155,32.0804,81.8051,0.6958,0.0027,0.007,870,3.5225,True,inf
444.pgm,256x256,0.996381,0.994876,6.951154,117157.41,-0.000608,0.002022,7.99695,276.33,-0.000599,0.002032,7.996948,276.54,99.5926,34.6953,88.4731,99.5926,34.6953,88.4731,4.744,0.0186,0.0474,6210,4.6096,True,inf
4440.pgm,256x256,0.962489,0.949442,6.981661,123305.33,3.6e-05,0.000759,7.997285,245.48,4.7e-05,0.000783,7.996977,273.46,99.6201,29.1998,74.4596,99.6155,29.2002,74.4605,7.074,0.0277,0.0707,9184,3.9885,True,inf
